From,To,Relation,Relation_details,Actor_A_OCgroupmemberships,Actor_B_OCgroupmemberships
51,1946,Associate/Friendship,associate,"G8, G9, G10, G24","G23, G24"
51,812,Kinship,common-law spouse,"G8, G9, G10, G24",G24
51,850,Legitimate,RO company,"G8, G9, G10, G24","G24, G80"
61,2079,Co-Offenders,Cocaine,NONE,NONE
62,136,Co-Offenders,btb marihuana,G46,G100
62,673,Associate/Friendship,,G46,G46
62,570,Co-Offenders,btb marihuana,G46,G46
62,455,Co-Offenders,marihuana possession,G46,G46
62,995,Co-Offenders,marihuana possession,G46,G46
62,672,Co-Offenders,Same Cell,G46,G46
62,673,Co-Offenders,Same Cell,G46,G46
62,781,Co-Offenders,Same Cell,G46,G46
68,1491,Co-Offenders,btb cocaine connection,"G13, G15, G16",NONE
68,1491,Formal Criminal Organization,Ch3 former,"G13, G15, G16",NONE
68,471,Co-Offenders,btb criminal associate,"G13, G15, G16",G15
68,69,Co-Offenders,same cell,"G13, G15, G16",G15
68,69,Formal Criminal Organization,Ch3,"G13, G15, G16",G15
68,69,Kinship,brother,"G13, G15, G16",G15
68,69,Legitimate,director of 5 registered firms,"G13, G15, G16",G15
68,723,Associate/Friendship,btb associate,"G13, G15, G16","G15, G25, G34, G67"
68,723,Co-Offenders,btb supplying cocaine,"G13, G15, G16","G15, G25, G34, G67"
68,723,Legitimate,"paid 725 $700,000 for warehouse","G13, G15, G16","G15, G25, G34, G67"
69,723,Co-Offenders,btb supplying cocaine,G15,"G15, G25, G34, G67"
70,71,Kinship,Mother/Daughter,NONE,NONE
70,73,Kinship,Mother/Son,NONE,NONE
70,73,Legitimate,Director/ Manager,NONE,NONE
70,555,Kinship,Mother/Son,NONE,NONE
71,74,Kinship,Spouse,NONE,NONE
70,75,Kinship,Brothers,NONE,NONE
71,75,Kinship,Father/Daughter,NONE,NONE
72,75,Kinship,Father/Son,NONE,NONE
73,75,Kinship,Father/Son,NONE,NONE
75,555,Kinship,Spouse,NONE,NONE
79,1710,Co-Offenders,btb flying shipments of marihuana,"G47, G82",NONE
79,1293,Co-Offenders,bt have imported cocaine,"G47, G82",G13
79,723,Co-Offenders,cocaine,"G47, G82","G15, G25, G34, G67"
79,1299,Associate/Friendship,met in an prison,"G47, G82",G47
78,79,Co-Offenders,assists in transferring proceeds into Canada,"G47, G82",G47
79,1299,Co-Offenders,bt have imported cocaine,"G47, G82",G47
79,2042,Co-Offenders,btb hired for protection & for transfer of funds into foreign country,"G47, G82",G47
79,861,Co-Offenders,btb working together in cocaine importation,"G47, G82",G47
79,1250,Co-Offenders,in charge of one helicopter re marihuana,"G47, G82",G47
79,470,Co-Offenders,partners in a marihuana smuggling enterprise,"G47, G82",G47
79,1802,Co-Offenders,Same Cell,"G47, G82",G47
79,1815,Co-Offenders,Same Cell,"G47, G82",G47
79,1860,Co-Offenders,Same Cell,"G47, G82",G47
79,2113,Co-Offenders,Same Cell,"G47, G82",G47
78,79,Kinship,Father/Son,"G47, G82",G47
79,470,Legitimate, “owner” of one helicopter,"G47, G82",G47
79,1250,Negative/Enemies,bt have had a falling out,"G47, G82",G47
79,2132,Co-Offenders,Same Cell,"G47, G82","G47, G58, G81"
79,707,Co-Offenders,btb flying shipments of marihuana,"G47, G82","G47, G65"
22,79,Co-Offenders,Same Cell,"G47, G82","G47, G81"
79,1284,Co-Offenders,RO of Blackberries linked to organization,"G47, G82","G47, G81"
79,594,Co-Offenders,Same Cell,"G47, G82","G47, G84"
79,1091,Co-Offenders,Same Cell,"G47, G82","G47, G84"
79,1306,Co-Offenders,bt have worked together,"G47, G82","G60, G110"
79,1405,Legitimate,btb partner in helicopter,"G47, G82",G73
79,1086,Co-Offenders,involved in the money aspect of marihuana exportation,"G47, G82",G81
79,237,Co-Offenders,bt have worked together,"G47, G82",G9
81,342,Associate/Friendship,Associate,G167,NONE
81,1017,Co-Offenders,Same Cell,G167,G167
81,1930,Co-Offenders,Same Cell,G167,G167
81,2051,Co-Offenders,Same Cell,G167,G167
81,1215,Associate/Friendship,Associate,G167,G175
83,1739,Negative/Enemies,Feud,G175,NONE
83,573,Negative/Enemies,Feud,G175,G127
83,1194,Associate/Friendship,Associates,G175,G175
83,1935,Associate/Friendship,Associates,G175,G175
84,1157,Negative/Enemies,Shooting,G175,NONE
84,1739,Negative/Enemies,Feud,G175,NONE
83,84,Co-Offenders,"debt collection, drugs, home invasions, extortion & kidnapping",G175,G175
83,84,Kinship,Brothers,G175,G175
