From,To,Relation,Relation_details,Actor_A_OCgroupmemberships,Actor_B_OCgroupmemberships
1288,1279,Co-Offenders,"robbery, kidnapping, assault, attempt murder, theft, drugs & fraud",G171,G171
1288,1280,Co-Offenders,"robbery, kidnapping, assault, attempt murder, theft, drugs & fraud",G171,G171
1288,1281,Co-Offenders,"robbery, kidnapping, assault, attempt murder, theft, drugs & fraud",G171,G171
1288,1282,Co-Offenders,"robbery, kidnapping, assault, attempt murder, theft, drugs & fraud",G171,G171
1288,1283,Co-Offenders,"robbery, kidnapping, assault, attempt murder, theft, drugs & fraud",G171,G171
1288,1284,Co-Offenders,"robbery, kidnapping, assault, attempt murder, theft, drugs & fraud",G171,G171
1288,1285,Co-Offenders,"robbery, kidnapping, assault, attempt murder, theft, drugs & fraud",G171,G171
1288,1286,Co-Offenders,"robbery, kidnapping, assault, attempt murder, theft, drugs & fraud",G171,G171
1288,1287,Co-Offenders,"robbery, kidnapping, assault, attempt murder, theft, drugs & fraud",G171,G171
1288,1289,Co-Offenders,"robbery, kidnapping, assault, attempt murder, theft, drugs & fraud",G171,G171
1288,1290,Co-Offenders,"robbery, kidnapping, assault, attempt murder, theft, drugs & fraud",G171,G171
1288,1858,Co-Offenders,"robbery, kidnapping, assault, attempt murder, theft, drugs & fraud",G171,G171
1293,370,Co-Offenders,btb working for 1348,G136,G136
1298,1729,Legitimate,bt co-own company,"G23, G41, G66, G89","G23, G30, G43"
1298,787,Legitimate,drove 818's vehicle,"G23, G41, G66, G89",G25
1298,504,Co-Offenders,bt have made a deal to allow the group to sell cocaine,"G23, G41, G66, G89",G63
1298,179,Co-Offenders,poly-drug sales,"G23, G41, G66, G89","G63, G89"
1298,73,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,132,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,158,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,237,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,393,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,864,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1049,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1106,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1207,Co-Offenders,btb supplying marihuana & cocaine,"G23, G41, G66, G89",G89
1298,1226,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1227,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1237,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1488,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1642,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1660,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1725,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1731,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1794,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1837,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1898,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1900,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,2063,Co-Offenders,poly-drug sales,"G23, G41, G66, G89",G89
1298,1934,Co-Offenders,poly-drug sales,"G23, G41, G66, G89","G89, G111"
1310,1181,Co-Offenders,btb formerly involved in cocaine trafficking; extortion & drug debt,G90,"G10, G26, G90"
1310,1179,Co-Offenders,btb formerly involved in cocaine trafficking; extortion & drug debt,G90,"G26, G90"
1310,1180,Co-Offenders,btb formerly involved in cocaine trafficking,G90,"G26, G90"
1310,1179,Legitimate,purchased property from 1227,G90,"G26, G90"
1310,1451,Legitimate,former associate,G90,"G38, G90"
1310,1878,Legitimate,associate,G90,"G40, G90"
1310,1878,Co-Offenders,btb involved in extortion & drug debt,G90,"G40, G90"
1310,777,Co-Offenders,btb cocaine importation & marihuana exportation,G90,"G60, G90, G107"
1310,233,Legitimate,former associate,G90,G90
1310,1178,Legitimate,associate,G90,G90
1310,209,Co-Offenders,btb cocaine importation & marihuana exportation,G90,G90
1310,575,Co-Offenders,btb cocaine importation & marihuana exportation,G90,G90
1310,843,Co-Offenders,btb cocaine importation & marihuana exportation,G90,G90
1310,1077,Co-Offenders,btb formerly involved in cocaine trafficking,G90,G90
1310,1078,Co-Offenders,btb cocaine importation & marihuana exportation,G90,G90
1310,1178,Co-Offenders,btb cocaine importation & marihuana exportation,G90,G90
1310,1220,Co-Offenders,btb cocaine importation & marihuana exportation,G90,G90
1310,1267,Co-Offenders,btb cocaine importation & marihuana exportation,G90,G90
1310,1309,Co-Offenders,btb cocaine importation & marihuana exportation,G90,G90
1310,1639,Co-Offenders,btb cocaine importation & marihuana exportation,G90,G90
1310,1850,Co-Offenders,btb cocaine importation & marihuana exportation,G90,G90
1310,209,Legitimate,former co-directors,G90,G90
1310,843,Legitimate,co-own 2 industrial,G90,G90
1310,1077,Legitimate,used to purchase property together,G90,G90
1310,1309,Legitimate,co-own a residential property,G90,G90
1313,1482,Co-Offenders,btb marihuana,NONE,G58
1314,229,Legitimate,director,NONE,NONE
1314,1481,Legitimate,director,NONE,NONE
1315,229,Legitimate,director,NONE,NONE
1315,1314,Legitimate,director of 2 companies,NONE,NONE
1315,1481,Legitimate,director,NONE,NONE
1317,859,Legitimate,Associate,G91,NONE
1317,915,Legitimate,Associate,G91,NONE
1317,1205,Legitimate,Associate,G91,NONE
1317,1319,Legitimate,Associate,G91,NONE
1317,1438,Legitimate,Associate,G91,NONE
1317,1977,Legitimate,Associate,G91,G74
1317,2073,Co-Offenders,telemarketing schemes.,G91,G91
1320,1677,Co-Offenders,bt run drug line ,NONE,NONE
1320,2006,Co-Offenders,bt run drug line,NONE,NONE
1325,875,Co-Offenders,Drugs,G178,G178
1328,1329,Legitimate,director/officer,NONE,NONE
1335,1332,Co-Offenders,Same Cell,G110,G110
1335,1336,Co-Offenders,Same Cell,G110,G110
1338,1762,Co-Offenders,Bank Fraud,G174,NONE
1338,559,Co-Offenders,Drugs,G174,G172
1338,40,Co-Offenders,"Telemarketing fraud, Bank fraud",G174,G174
1338,789,Co-Offenders,"Drugs, money laundering",G174,G175
1342,751,Co-Offenders,btb meeting regularly re. drug trade,G66,G35
1342,490,Co-Offenders,btb cocaine supplier,G66,G66
1342,1418,Co-Offenders,btb cocaine supplier,G66,G66
1342,490,Legitimate,used the same address,G66,G66
1344,2099,Co-Offenders,Drugs,G64,G64
1346,1969,Co-Offenders,Same Cell,G73,NONE
1346,165,Co-Offenders,Same Cell,G73,G73
1346,536,Co-Offenders,Same Cell,G73,G73
1346,944,Co-Offenders,Same Cell,G73,G73
1346,1019,Co-Offenders,Same Cell,G73,G73
1346,1177,Co-Offenders,Same Cell,G73,G73
1346,1345,Co-Offenders,Same Cell,G73,G73
1346,1527,Co-Offenders,Same Cell,G73,G73
1346,1605,Co-Offenders,Same Cell,G73,G73
1346,1658,Co-Offenders,Same Cell,G73,G73
1346,1870,Co-Offenders,Same Cell,G73,G73
1346,1365,Co-Offenders,Same Cell,G73,"G73, G119"
1346,16,Co-Offenders,Same Cell,G73,"G73, G131"
1346,17,Co-Offenders,Same Cell,G73,"G73, G131"
1349,228,Co-Offenders,btb involved in cocaine trafficking,G111,"G43, G111"
1350,324,Legitimate,owner/ director,G121,G121
1350,339,Legitimate,long-time associate,G121,"G121, G122"
1354,604,Co-Offenders,Same Cell,G181,G181
1354,1353,Co-Offenders,Same Cell,G181,G181
1354,1975,Co-Offenders,Same Cell,G181,G181
1363,84,Co-Offenders,Same Cell formerly,G119,G119
1363,86,Co-Offenders,Same Cell,G119,G119
1363,181,Co-Offenders,Same Cell,G119,G119
1363,206,Co-Offenders,Same Cell,G119,G119
1363,494,Co-Offenders,Same Cell,G119,G119
1363,1364,Co-Offenders,Same Cell - apparent division,G119,G119
1363,1365,Co-Offenders,Same Cell,G119,"G73, G119"
1365,1366,Legitimate,founding director in shell companies,"G73, G119",NONE
1365,1373,Legitimate,associated to shell companies,"G73, G119",NONE
1365,1478,Legitimate,associated to shell companies,"G73, G119",NONE
1365,84,Co-Offenders,involved in kidnapings,"G73, G119",G119
1365,1364,Co-Offenders,involved in kidnaping,"G73, G119",G119
1369,1307,Legitimate,Associate,NONE,NONE
1369,2088,Legitimate,Associate,NONE,NONE
1375,992,Co-Offenders,btb involved in marihuana,G50,G3
1375,1897,Co-Offenders,btb involved in marihuana,G50,"G3, G5"
1378,2056,Legitimate,Associate,G142,NONE
1378,1989,Co-Offenders,marihuana export/ cocaine import,G142,"G136, G142"
1378,818,Co-Offenders,btb laundering  drug proceeds for the group,G142,G142
1378,1391,Co-Offenders,marihuana export/ cocaine import,G142,G142
1378,1853,Co-Offenders,marihuana export/ cocaine import,G142,G142
1380,375,Co-Offenders,Same Cell,NONE,NONE
1389,1399,Legitimate,partners,G150,G150
1394,175,Legitimate,Associate,G147,NONE
1394,175,Co-Offenders,attempted to launder proceeds,G147,NONE
1394,807,Legitimate,Associate,G147,NONE
1394,807,Co-Offenders,attempted to launder proceeds,G147,NONE
1394,1385,Co-Offenders,Same Cell,G147,G147
1394,1507,Co-Offenders,laundering drug proceeds,G147,G147
1404,803,Co-Offenders,"marihuana production, money laundering",G153,G153
1404,1393,Co-Offenders,"marihuana production, money laundering",G153,G153
1404,1397,Co-Offenders,"marihuana production, money laundering",G153,G153
1404,1407,Co-Offenders,"marihuana production, money laundering",G153,G153
1404,1924,Co-Offenders,"marihuana production, money laundering",G153,G153
1409,97,Co-Offenders,Suspects of Assualt,G179,G179
1416,1206,Legitimate,associate,NONE,NONE
1416,560,Legitimate,associate,NONE,"G62, G66"
1416,560,Co-Offenders,same cell,NONE,"G62, G66"
1418,953,Legitimate,associate,G66,NONE
1418,953,Co-Offenders,btb members of a gang,G66,NONE
1418,723,Co-Offenders,bt pay a “tax” ,G66,"G23, G39, G41, G66, G89"
1418,1298,Co-Offenders,bt pay a “tax” ,G66,"G23, G41, G66, G89"
1422,928,Legitimate,former business partner,G52,NONE
1433,135,Legitimate,associate,G93,G93
1433,31,Co-Offenders,Same Cell,G93,G93
1433,39,Co-Offenders,Same Cell,G93,G93
1433,135,Co-Offenders,Same Cell,G93,G93
1433,286,Co-Offenders,Same Cell,G93,G93
1433,318,Co-Offenders,Same Cell,G93,G93
1433,320,Co-Offenders,Same Cell,G93,G93
1433,322,Co-Offenders,Same Cell ,G93,G93
1433,373,Co-Offenders,btb drug supplier,G93,G93
1433,580,Co-Offenders,Same Cell,G93,G93
1433,629,Co-Offenders,Same Cell,G93,G93
1433,641,Co-Offenders,Same Cell,G93,G93
1433,979,Co-Offenders,Same Cell,G93,G93
1433,1195,Co-Offenders,Same Cell,G93,G93
1433,1610,Co-Offenders,Same Cell,G93,G93
1433,1635,Co-Offenders,btb drug supplier,G93,G93
1433,1806,Co-Offenders,Same Cell,G93,G93
1433,1843,Co-Offenders,Same Cell,G93,G93
1433,39,Legitimate,linked to rental vehicle,G93,G93
1433,1635,Legitimate,linked to rental vehicle,G93,G93
1436,29,Co-Offenders,Same Cell,G92,G92
1436,46,Co-Offenders,Same Cell,G92,G92
1436,442,Co-Offenders,Same Cell,G92,G92
1436,464,Co-Offenders,Same Cell,G92,G92
1440,460,Co-Offenders,firearms supplied,G56,NONE
1440,489,Co-Offenders,firearms supplied,G56,NONE
1450,310,Legitimate,Associate,"G59, G94",NONE
1450,1052,Legitimate,Associate,"G59, G94",NONE
1450,1052,Co-Offenders,targets,"G59, G94",NONE
1450,1175,Legitimate,Associate,"G59, G94",NONE
1450,1607,Legitimate,Associate,"G59, G94",NONE
1450,1607,Co-Offenders,bt take large “lay-off” bets,"G59, G94",NONE
1450,1630,Legitimate,Associate,"G59, G94",NONE
1450,2101,Legitimate,Associate,"G59, G94",NONE
1450,478,Co-Offenders,involved in bookmaking,"G59, G94","G59, G94"
1450,974,Co-Offenders,involved in bookmaking,"G59, G94","G59, G94"
1451,184,Legitimate,associate,"G38, G90",NONE
1451,184,Co-Offenders,btb the source of drugs,"G38, G90",NONE
1451,231,Legitimate,associate,"G38, G90",NONE
1451,615,Legitimate,associate,"G38, G90",NONE
1451,615,Co-Offenders,btb exporting marihuana.,"G38, G90",NONE
1451,882,Legitimate,associate,"G38, G90",NONE
1451,1032,Co-Offenders,drug,"G38, G90",NONE
1451,1211,Legitimate,associate,"G38, G90",NONE
1451,1211,Co-Offenders,bt import drugs & stolen property,"G38, G90",NONE
1451,1304,Legitimate,associate,"G38, G90",NONE
1451,1847,Co-Offenders,btb trafficking marihuana. & cocaine,"G38, G90",NONE
1451,247,Co-Offenders,associate,"G38, G90",G1
1451,521,Legitimate,associate,"G38, G90",G2
1451,522,Legitimate,associate,"G38, G90",G2
1451,1729,Legitimate,associate,"G38, G90","G23, G30, G43"
1451,1729,Co-Offenders,btb trafficking marihuana & cocaine,"G38, G90","G23, G30, G43"
1451,1196,Legitimate,associate,"G38, G90",G38
1451,75,Legitimate,associate,"G38, G90","G47, G82"
1451,75,Co-Offenders,btb money laundering,"G38, G90","G47, G82"
1451,1557,Legitimate,Associate,"G38, G90","G49, G99"
1451,232,Legitimate,associate,"G38, G90",G9
1451,232,Co-Offenders,cocaine network,"G38, G90",G9
1451,444,Legitimate,associate/ partner,"G38, G90","G9, G38"
1451,1706,Legitimate,partner,"G38, G90","G9, G38"
1451,444,Co-Offenders,drug trafficking & conspiracy charges,"G38, G90","G9, G38"
1451,1706,Co-Offenders,drug trafficking & conspiracy charges,"G38, G90","G9, G38"
1451,209,Legitimate,associate,"G38, G90",G90
1451,1077,Co-Offenders,drug trafficking & conspiracy charges,"G38, G90",G90
1454,583,Legitimate,,G123,NONE
1454,161,Co-Offenders,cocaine supplier,G123,G10
1454,418,Co-Offenders,associate,G123,G10
1454,598,Co-Offenders,associate,G123,G10
1454,727,Co-Offenders,drug trafficking,G123,G10
1454,1331,Co-Offenders,same cell,G123,G10
1454,1181,Co-Offenders,same cell,G123,"G10, G26, G90"
1454,723,Co-Offenders,deal re drug terrority,G123,"G23, G39, G41, G66, G89"
1454,50,Co-Offenders,btb supplying marihuana,G123,"G8, G9, G10, G24"
1458,1456,Co-Offenders,btb dealing cocaine,G1,NONE
1458,1788,Legitimate,boyfriend/ girlfriend,G1,NONE
1458,248,Co-Offenders,assault conspiracy,G1,G1
1460,1322,Legitimate,Associate,NONE,NONE
1466,82,Legitimate,associate,G40,"G23, G40, G43"
1466,82,Co-Offenders,btb drug supplier,G40,"G23, G40, G43"
1466,81,Legitimate,associate,G40,"G23, G40, G43, G111"
1466,81,Co-Offenders,btb drug supplier,G40,"G23, G40, G43, G111"
1466,1529,Co-Offenders,drug supplier,G40,"G30, G39, G40, G115, G116"
1466,282,Legitimate,associate,G40,G40
1466,283,Legitimate,associate,G40,G40
1466,1191,Legitimate,associate,G40,G40
1466,1333,Legitimate,past associate,G40,G40
1466,2042,Legitimate,past associate,G40,G40
1466,1333,Co-Offenders,‘conspiracy to extort’,G40,G40
1466,450,Co-Offenders,same cell,G40,G40
1466,1484,Co-Offenders,same cell,G40,G40
1466,1792,Co-Offenders,same cell,G40,G40
1466,1848,Legitimate,former owner/ operater,G40,G40
1466,1566,Legitimate,past associate,G40,"G40, G120"
1466,1878,Legitimate,past associate,G40,"G40, G90"
1466,1878,Co-Offenders,‘conspiracy to extort’,G40,"G40, G90"
1468,1922,Legitimate,close associate,G137,G137
1468,1922,Co-Offenders,narcotics,G137,G137
1470,462,Legitimate,Borrowed Money,G169,NONE
1470,1625,Legitimate,Discussed mining venture,G169,NONE
1470,1469,Co-Offenders,Stock fraud,G169,G169
1470,1471,Co-Offenders,Stock fraud,G169,G169
1470,1619,Co-Offenders,Stock fraud,G169,G169
1470,1619,Legitimate,director/ officer,G169,G169
1471,1469,Co-Offenders,Stock fraud,G169,G169
1472,211,Legitimate,purchased 1536's shares in Totem Ford Leasing,G116,G116
1474,221,Co-Offenders,supplied 1538 with cocaine,NONE,G50
1486,1375,Co-Offenders,"marihuana, money laundering",G50,G50
1493,1570,Legitimate,Associate,NONE,NONE
1496,1299,Co-Offenders,same cell,"G23, G41","G23, G41"
1496,1298,Co-Offenders,btb trafficking drugs,"G23, G41","G23, G41, G66, G89"
1496,1297,Legitimate,partner,"G23, G41","G23, G41, G69"
1496,380,Co-Offenders,btb trafficking drugs,"G23, G41",G41
1496,1904,Co-Offenders,btb trafficking drugs,"G23, G41",G41
1496,1494,Co-Offenders,Drugs,"G23, G41",G41
1496,429,Legitimate,partner,"G23, G41",G41
1496,724,Legitimate,partner,"G23, G41",G41
1496,764,Legitimate,partner,"G23, G41",G41
1496,806,Legitimate,partner,"G23, G41",G41
1496,1316,Legitimate,partner,"G23, G41",G41
1496,1494,Legitimate,same address,"G23, G41",G41
1503,873,Legitimate,sales rep/ director,"G29, G67",NONE
1503,1266,Legitimate,sales rep/ director,"G29, G67",NONE
1510,829,Legitimate,former business co-directors,"G95, G100",G23
1510,585,Legitimate,btb living at the 1576 business,"G95, G100",G95
1512,54,Co-Offenders,btb smuggling  weapons & drugs,G70,G70
1512,111,Co-Offenders,btb smuggling  weapons & drugs,G70,G70
1512,394,Co-Offenders,btb smuggling  weapons & drugs,G70,G70
1512,1895,Co-Offenders,btb smuggling  weapons & drugs,G70,G70
1514,139,Co-Offenders,associate,G20,NONE
1514,910,Co-Offenders,"marihuana, cocaine",G20,NONE
1514,1636,Co-Offenders,btb working together,G20,G20
1514,187,Co-Offenders,same cell,G20,G20
1514,554,Co-Offenders,same cell,G20,G20
1514,1893,Co-Offenders,same cell,G20,G20
1518,618,Legitimate,founder/ shareholder,G28,G27
1518,1217,Legitimate,Director,G28,G28
1518,223,Legitimate,Director,G28,G28
1518,188,Legitimate,former links to business,G28,G28
1519,473,Co-Offenders,btb cocaine importing partners,G27,"G16, G27, G38, G58"
1519,473,Legitimate,owner,G27,"G16, G27, G38, G58"
1519,400,Co-Offenders,btb selling large quantities of stolen merchandise,G27,G27
1519,674,Legitimate,owner,G27,G27
1524,1876,Legitimate,phones were in contact,G96,G13
1524,2033,Legitimate,partner/ associate,G96,G96
1529,737,Legitimate,boyfriend/ girlfriend,"G30, G39, G40, G115, G116",NONE
1529,770,Co-Offenders,"cocaine,  marihuana, Ecstasy, & extortion","G30, G39, G40, G115, G116","G23, G30, G39"
1529,202,Co-Offenders,marihuana exportation,"G30, G39, G40, G115, G116",G30
1529,384,Co-Offenders,marihuana/ cocaine,"G30, G39, G40, G115, G116",G30
1529,222,Legitimate,gemstone supplier,"G30, G39, G40, G115, G116",G30
1529,2085,Legitimate,previously very close,"G30, G39, G40, G115, G116","G30, G39"
1529,1744,Co-Offenders,"cocaine,  marihuana, Ecstasy, & extortion","G30, G39, G40, G115, G116","G30, G39"
1529,2085,Co-Offenders,"cocaine,  marihuana, Ecstasy, & extortion","G30, G39, G40, G115, G116","G30, G39"
1529,1629,Legitimate,associate,"G30, G39, G40, G115, G116",G32
1529,1629,Co-Offenders,enforcer,"G30, G39, G40, G115, G116",G32
1532,95,Co-Offenders,distributed meth,"G4, G5, G6, G8","G4, G5, G6, G7"
1532,1598,Co-Offenders,meth producers,"G4, G5, G6, G8","G4, G5, G6, G7"
1535,75,Co-Offenders,btb laundering money,NONE,"G47, G82"
1537,1661,Co-Offenders,bt supply heroin for personal use,G78,G102
1537,138,Co-Offenders,lower level cocaine dealer,G78,G78
1537,1828,Co-Offenders,lower level cocaine dealer,G78,G78
1537,1829,Co-Offenders,lower level cocaine dealer,G78,G78
1541,1744,Co-Offenders,financial arrangements,NONE,"G30, G39"
1541,2085,Co-Offenders,financial arrangements,NONE,"G30, G39"
1541,1551,Co-Offenders,financial arrangements,NONE,G39
1542,218,Co-Offenders,btb engaged in pump-and-dump schemes,NONE,NONE
1542,295,Co-Offenders,btb engaged in pump-and-dump schemes,NONE,NONE
1542,1652,Co-Offenders,btb engaged in pump-and-dump schemes,NONE,NONE
1543,1897,Co-Offenders,"cocaine, meth, & extortions",G5,"G3, G5"
1543,95,Co-Offenders,drug rip,G5,"G4, G5, G6, G7"
1543,1598,Co-Offenders,meth producers,G5,"G4, G5, G6, G7"
1543,405,Co-Offenders,"cocaine, meth, & extortions",G5,G5
1543,1544,Co-Offenders,"cocaine, meth, & extortions",G5,G5
1545,57,Co-Offenders,Same Cell,G97,G97
1545,125,Co-Offenders,Same Cell,G97,G97
1545,242,Co-Offenders,Same Cell,G97,G97
1545,406,Co-Offenders,Same Cell,G97,G97
1545,568,Co-Offenders,Same Cell,G97,G97
1545,808,Co-Offenders,Same Cell,G97,G97
1545,832,Co-Offenders,Same Cell,G97,G97
1545,1089,Co-Offenders,Same Cell,G97,G97
1545,1229,Co-Offenders,Same Cell,G97,G97
1545,1234,Co-Offenders,Same Cell,G97,G97
1545,1243,Co-Offenders,Same Cell,G97,G97
1545,1274,Co-Offenders,Same Cell,G97,G97
1545,1459,Co-Offenders,Same Cell,G97,G97
1545,1591,Co-Offenders,Same Cell,G97,G97
1545,1723,Co-Offenders,Same Cell,G97,G97
1551,55,Legitimate,associate,G39,G39
1554,275,Co-Offenders,supplies cocaine,G62,G62
1555,473,Legitimate,associate,G98,"G16, G27, G38, G58"
1555,473,Co-Offenders,former cocaine supplier,G98,"G16, G27, G38, G58"
1555,669,Legitimate,associate,G98,G183
1555,669,Co-Offenders,cocaine distributor,G98,G183
1555,190,Co-Offenders,cocaine distributor,G98,G98
1555,413,Co-Offenders,cocaine distributor,G98,G98
1555,456,Co-Offenders,cocaine distributor,G98,G98
1555,610,Co-Offenders,cocaine distributor,G98,G98
1555,611,Co-Offenders,cocaine distributor,G98,G98
1555,628,Co-Offenders,cocaine distributor,G98,G98
1555,776,Co-Offenders,cocaine distributor,G98,G98
1555,836,Co-Offenders,cocaine distributor,G98,G98
1555,965,Co-Offenders,cocaine distributor,G98,G98
1555,966,Co-Offenders,cocaine distributor,G98,G98
1555,1113,Co-Offenders,cocaine distributor,G98,G98
1555,1295,Co-Offenders,cocaine distributor,G98,G98
1555,1306,Co-Offenders,btb new cocaine supplier,G98,G98
1555,1421,Co-Offenders,cocaine distributor,G98,G98
1555,1641,Co-Offenders,cocaine distributor,G98,G98
1557,613,Legitimate,Associate,"G49, G99",NONE
1557,970,Legitimate,Associate,"G49, G99",NONE
1557,1022,Legitimate,Associate,"G49, G99",NONE
1557,1556,Legitimate,Associate,"G49, G99",NONE
1557,530,Co-Offenders,Same Cell,"G49, G99","G18, G99"
1557,1010,Legitimate,Associate,"G49, G99","G19, G21, G22"
1557,1754,Legitimate,Associate,"G49, G99",G21
1557,1230,Legitimate,Associate,"G49, G99",G42
1557,1777,Legitimate,Associate,"G49, G99",G49
1557,1690,Legitimate,Associate,"G49, G99",G51
1557,1763,Legitimate,Associate,"G49, G99",G51
1557,1765,Co-Offenders,bt launder funds,"G49, G99",G51
1557,968,Co-Offenders,Same Cell,"G49, G99","G51, G99"
1557,403,Legitimate,Associate,"G49, G99",G83
1557,1120,Legitimate,Associate,"G49, G99",G83
1557,76,Legitimate,Associate,"G49, G99",G99
1557,1125,Legitimate,,"G49, G99",G99
1557,1126,Legitimate,,"G49, G99",G99
1557,1176,Legitimate,Associate,"G49, G99",G99
1557,1508,Legitimate,associate,"G49, G99",G99
1557,266,Co-Offenders,Same Cell,"G49, G99",G99
1557,299,Co-Offenders,Same Cell,"G49, G99",G99
1557,389,Co-Offenders,laundering  monies thru' mortgages & property,"G49, G99",G99
1557,411,Co-Offenders,Same Cell,"G49, G99",G99
1557,501,Co-Offenders,Same Cell,"G49, G99",G99
1557,584,Co-Offenders,Same Cell,"G49, G99",G99
1557,590,Co-Offenders,Same Cell,"G49, G99",G99
1557,636,Co-Offenders,Same Cell,"G49, G99",G99
1557,662,Co-Offenders,Same Cell,"G49, G99",G99
1557,785,Co-Offenders,Same Cell,"G49, G99",G99
1557,793,Co-Offenders,Same Cell,"G49, G99",G99
1557,797,Co-Offenders,Same Cell,"G49, G99",G99
1557,905,Co-Offenders,Same Cell,"G49, G99",G99
1557,938,Co-Offenders,Same Cell,"G49, G99",G99
1557,1053,Co-Offenders,Same Cell,"G49, G99",G99
1557,1245,Co-Offenders,Same Cell,"G49, G99",G99
1557,1255,Co-Offenders,Same Cell,"G49, G99",G99
1557,1504,Co-Offenders,Same Cell,"G49, G99",G99
1557,1508,Co-Offenders,btb criminal relationship,"G49, G99",G99
1557,1808,Co-Offenders,Same Cell,"G49, G99",G99
1557,2005,Co-Offenders,Same Cell,"G49, G99",G99
1557,2071,Co-Offenders,Same Cell,"G49, G99",G99
1557,2094,Co-Offenders,Same Cell,"G49, G99",G99
1558,717,Co-Offenders,Illegal distribution of firearms,G160,G160
1558,858,Co-Offenders,Illegal distribution of firearms,G160,G160
1558,1419,Co-Offenders,Illegal distribution of firearms,G160,G160
1558,1559,Co-Offenders,Illegal distribution of firearms,G160,G160
1558,1877,Co-Offenders,Illegal distribution of firearms,G160,G160
1558,717,Legitimate,Legal firearms importation via 2 companies,G160,G160
1558,858,Legitimate,Legal firearms importation via 2 companies,G160,G160
1558,1419,Legitimate,Legal firearms importation via 2 companies,G160,G160
1558,1559,Legitimate,Legal firearms importation via 2 companies,G160,G160
1558,1877,Legitimate,Legal firearms importation via 2 companies,G160,G160
1572,1574,Legitimate,Own property together,NONE,NONE
1572,1575,Legitimate,Own property together,NONE,NONE
1572,1576,Legitimate,Own property together,NONE,NONE
1573,1572,Legitimate,Own property together,NONE,NONE
1574,1592,Legitimate,Friends,NONE,G86
1575,1683,Co-Offenders,,NONE,NONE
1578,1689,Co-Offenders,attempted to run interference during a drug seizure,G128,G128
1579,692,Legitimate,best friend,G128,G128
1579,85,Co-Offenders,Same Cell,G128,G128
1579,692,Co-Offenders,Same Cell,G128,G128
1579,1550,Co-Offenders,Same Cell,G128,G128
1579,1578,Co-Offenders,Same Cell,G128,G128
1579,1580,Co-Offenders,Same Cell,G128,G128
1579,1689,Co-Offenders,Same Cell,G128,G128
1579,1692,Co-Offenders,Same Cell,G128,G128
1579,1911,Co-Offenders,Same Cell,G128,G128
1579,1578,Legitimate,longshoreman,G128,G128
1579,473,Legitimate,associate,G128,"G16, G27, G38, G58"
1579,1526,Legitimate,associate,G128,G58
1588,236,Co-Offenders,Same Cell,G100,G100
1588,625,Co-Offenders,Same Cell,G100,G100
1588,626,Co-Offenders,Same Cell,G100,G100
1588,1239,Co-Offenders,Same Cell,G100,G100
1588,1587,Co-Offenders,btb involved in marihuana cultivation,G100,G100
1588,1718,Co-Offenders,btb marihuana drop,G100,G100
1588,1719,Co-Offenders,Same Cell,G100,G100
1588,236,Legitimate,btb assisted re property purchase,G100,G100
1588,625,Legitimate,btb assisted re property purchase,G100,G100
1588,626,Legitimate,btb assisted re property purchase,G100,G100
1588,1587,Legitimate,co-own property,G100,G100
1588,1510,Co-Offenders,btb involved in drug smuggling,G100,"G95, G100"
1588,1510,Legitimate,purchased property from 1655's company,G100,"G95, G100"
1592,89,Co-Offenders,bt launder money,G86,NONE
1592,89,Legitimate,Co-owned company,G86,NONE
1592,90,Co-Offenders,bt launder money,G86,NONE
1592,90,Legitimate,Co-owned company,G86,NONE
1595,1981,Co-Offenders,crystal meth,G106,G106
1596,2081,Legitimate,both shot at in other city,NONE,NONE
1598,2,Co-Offenders,meth production,"G4, G5, G6, G7","G4, G5, G6, G7"
1598,95,Co-Offenders,meth production,"G4, G5, G6, G7","G4, G5, G6, G7"
1598,239,Co-Offenders,meth production,"G4, G5, G6, G7","G4, G5, G6, G7"
1598,1489,Co-Offenders,meth production,"G4, G5, G6, G7","G4, G5, G6, G7"
