Node_ID,Gender,DOB_Year,Age_First_Analysis,Drug_Activity,Recode_Level,Drug_Type,Group_Membership_Type,Group_Membership_Code
1275,1,1980,36,0,0,0,9,2.0
1276,1,1954,62,0,0,0,9,2.0
1277,1,1965.0,51.0,0,0,0,2,11.0
1278,1,1965,51,1,8,2,4,99.0
1279,1.0,1972,44,0,0,0,0,6.0
1280,1,1983,33,1,8,2,7,4.0
1281,0,1967,49,0,0,0,4,99.0
1282,1,1963,53,1,10,6,0,6.0
1283,1,1982,34,0,0,0,0,6.0
1284,1,1977,39,0,0,0,0,6.0
1285,1,1984,32,0,0,0,0,6.0
1286,1,1957,59,1,8,8,2,11.0
1287,1,1971,45,1,9,6,2,11.0
1288,1,1965,51,1,17,7,2,11.0
1289,1.0,1972.0,44.0,0,0,0,0,6.0
1290,1,1968.0,48.0,0,0,0,4,99.0
1291,1,1989,27,1,4,2,1,9.0
1292,1,1995,21,1,4,2,1,9.0
1293,0,1957,59,1,4,2,1,9.0
1294,1,1990,26,1,4,2,1,9.0
1295,0,1980,36,1,4,2,1,9.0
1296,1,1983,33,1,4,2,1,9.0
1297,0,1982,34,1,4,2,1,9.0
1298,1,1989,27,1,4,2,1,9.0
1299,1,1986,30,1,4,2,1,9.0
1300,1,1987,29,1,4,2,1,9.0
1301,0,1976,40,1,4,2,1,9.0
1302,0,1978,38,1,4,2,1,9.0
1303,1,1981,35,1,4,2,1,9.0
1304,1,1992,24,1,4,2,1,9.0
1305,0,1985,31,1,4,2,1,9.0
1306,1,1986,30,1,4,2,3,13.0
1307,1,1946,70,1,2,2,1,9.0
1308,1,1956,60,0,0,0,5,1.0
1309,1,1968.0,48.0,0,0,0,4,99.0
1310,1,1959,57,1,5,1,0,6.0
1311,1,1972,44,0,0,0,4,99.0
1312,1,1970,46,0,0,0,10,23.0
1313,1,1977,39,1,26,5,10,22.0
1314,1,1975,41,0,0,0,2,11.0
1315,1,1981,35,1,9,6,3,13.0
1316,1,1976,40,0,0,0,3,13.0
1317,1,1976,40,0,0,0,4,99.0
1318,1.0,1968.0,48.0,0,0,0,4,99.0
1319,1,1982,34,0,0,0,4,99.0
1320,1,1966,50,0,0,0,0,6.0
1321,1,1962,54,0,0,0,4,99.0
1322,1.0,1986,30,0,0,0,4,99.0
1323,1,1961,55,1,5,6,0,6.0
1324,1,1981,35,0,0,0,4,99.0
1325,0,1966,50,1,6,16,9,2.0
1326,1,1956,60,1,10,6,0,6.0
1327,1,1964,52,1,10,7,0,6.0
1328,1,1970,46,1,1,2,0,6.0
1329,1,1980,36,0,0,0,3,13.0
1330,1,1961,55,1,8,8,4,99.0
1331,1,1954,62,0,0,0,4,99.0
1332,1,1960,56,0,0,0,4,99.0
1333,1,1968,48,0,0,0,2,11.0
1334,1,1969,47,0,0,0,0,6.0
1335,1,1955,61,0,0,0,4,99.0
1336,1,1986,30,0,0,0,4,99.0
1337,0,1984,32,0,0,0,4,99.0
1338,1,1948,68,0,0,0,4,99.0
1339,1,1960,56,0,0,0,4,99.0
1340,1,1981,35,1,9,7,3,13.0
1341,1.0,1968.0,48.0,0,0,0,4,99.0
1342,1,1964,52,1,8,1,8,3.0
1343,1,1977,39,0,0,0,0,6.0
1344,1,1941,75,0,0,0,4,99.0
1345,1,1965,51,0,0,0,4,99.0
1346,0,1963,53,0,0,0,4,99.0
1347,1,1966,50,1,8,2,4,99.0
1348,1,1962,54,0,0,0,2,11.0
1349,1,1974,42,0,0,0,0,6.0
1350,1,1963,53,0,0,0,2,11.0
1351,1,1971,45,0,0,0,0,6.0
1352,1,1982,34,0,0,0,0,6.0
1353,1,1974,42,0,0,0,0,6.0
1354,1,1953,63,0,0,0,4,99.0
1355,1,1964,52,1,6,38,1,9.0
1356,0,1980,36,0,0,0,4,99.0
1357,0,1974,42,0,0,0,4,99.0
1358,1,1965,51,1,1,2,0,6.0
1359,1,1977,39,1,5,1,0,6.0
1360,1,1979,37,0,0,0,0,6.0
1361,1,1971,45,1,1,1,0,6.0
1362,1,1972,44,0,0,0,0,6.0
1363,1,1977,39,1,10,7,0,6.0
1364,1,1973,43,0,0,0,4,99.0
1365,1,1968.0,48.0,0,0,0,4,99.0
1366,1,1981,35,1,1,1,0,6.0
1367,1,1963,53,0,0,0,7,4.0
1368,1.0,1963,53,0,0,0,4,99.0
1369,1.0,1987,29,1,4,2,3,13.0
1370,1,1981,35,0,0,0,3,13.0
1371,1,1984,32,0,0,0,3,13.0
1372,1,1985,31,0,0,0,7,4.0
1373,1,1975,41,0,0,0,4,99.0
1374,0,1968.0,48.0,0,0,0,4,99.0
1375,1.0,1968.0,48.0,0,0,0,4,99.0
1376,1,1984,32,1,9,6,3,13.0
1377,1,1966,50,0,0,0,4,99.0
1378,1,1966,50,0,0,0,0,6.0
1379,1,1972,44,0,0,0,7,4.0
1380,1,1968.0,48.0,0,0,0,4,99.0
1381,1,1975,41,0,0,0,7,4.0
1382,1.0,1975,41,0,0,0,11,5.0
1383,1,1965,51,0,0,0,4,99.0
1384,1,1979,37,0,0,0,4,99.0
1385,1,1945,71,1,2,2,1,9.0
1386,1,1984,32,0,0,0,4,99.0
1387,0,1972,44,0,0,0,4,99.0
1388,1.0,1982,34,0,0,0,7,4.0
1389,1.0,1968.0,48.0,0,0,0,4,99.0
1390,1,1963,53,0,0,0,4,99.0
1391,1,1968.0,48.0,0,0,0,4,99.0
1392,1,1968,48,1,6,8,0,6.0
1393,1,1969,47,0,0,0,0,6.0
1394,1,1962,54,1,10,1,4,99.0
1395,1,1967,49,1,11,7,5,1.0
1396,1,1977,39,0,0,0,4,99.0
1397,1.0,1987,29,0,0,0,4,99.0
1398,1,1955,61,1,1,6,5,1.0
1399,1,1972,44,0,0,0,0,6.0
1400,1,1979,37,0,0,0,4,99.0
1401,1,1982,34,0,0,0,4,99.0
1402,1,1968,48,0,0,0,5,1.0
1403,1,1980,36,0,0,0,4,99.0
1404,1,1967,49,1,28,19,5,1.0
1405,1,1968,48,0,0,0,5,1.0
1406,1,1954,62,0,0,0,5,1.0
1407,1,1988,28,1,8,1,3,13.0
1408,1,1974,42,1,10,6,5,1.0
1409,0,1984,32,1,28,8,5,1.0
1410,0,1967,49,1,27,8,5,1.0
1411,1,1966,50,1,6,2,5,1.0
1412,1,1974,42,0,0,0,0,6.0
1413,1.0,1955,61,1,34,6,0,6.0
1414,1,1972,44,0,0,0,5,1.0
1415,1.0,1985,31,1,27,8,4,99.0
1416,1,1965,51,0,0,0,5,1.0
1417,0.0,1983,33,1,28,8,5,1.0
1418,0,1967,49,1,2,5,5,1.0
1419,0,1970,46,0,0,0,5,1.0
1420,0.0,1960,56,1,28,8,5,1.0
1421,0,1978,38,1,27,8,5,1.0
1422,0,1963,53,0,0,0,5,1.0
1423,0,1965,51,0,0,0,5,1.0
1424,0,1965,51,0,0,0,5,1.0
1425,0,1952,64,1,2,5,5,1.0
1426,1,1986,30,1,8,1,3,13.0
1427,1,1978,38,0,0,0,4,99.0
1428,0.0,1959,57,1,28,8,5,1.0
1429,0,1984,32,0,0,0,4,99.0
1430,1,1985,31,0,0,0,4,99.0
1431,1,1976,40,0,0,0,0,6.0
1432,1,1969,47,0,0,0,0,6.0
1433,1,1969,47,0,0,0,4,99.0
1434,1,1976,40,1,8,1,0,6.0
1435,1,1979,37,1,1,1,0,6.0
1436,1.0,1979,37,0,0,0,9,2.0
1437,1,1979,37,0,0,0,5,1.0
1438,1,1974,42,1,5,1,0,6.0
1439,1,1968,48,0,0,0,0,6.0
1440,1,1980,36,1,9,6,3,13.0
1441,0,1959,57,0,0,0,0,6.0
1442,1,1982,34,0,0,0,4,99.0
1443,1,1982,34,1,9,6,3,13.0
1444,1,1985,31,1,8,1,3,13.0
1445,1,1984,32,0,0,0,4,99.0
1446,0,1958,58,1,1,2,0,6.0
1447,1.0,1981,35,0,0,0,0,6.0
1448,1,1971.0,45.0,1,8,1,4,99.0
1449,1,1982,34,1,9,6,3,13.0
1450,1,1979,37,1,5,2,0,6.0
1451,1,1970,46,0,0,0,0,6.0
1452,1,1982,34,0,0,0,3,13.0
1453,1,1973,43,0,0,0,0,6.0
1454,1,1950,66,0,0,0,0,6.0
1455,0,1980,36,0,0,0,4,99.0
1456,1,1974,42,1,1,2,0,6.0
1457,1,1975,41,0,0,0,0,6.0
1458,1,1976,40,0,0,0,5,1.0
1459,1,1979,37,0,0,0,5,1.0
1460,1,1984,32,1,9,6,3,13.0
1461,1,1958,58,0,0,0,2,11.0
1462,1,1975,41,1,8,1,8,3.0
1463,1.0,1976,40,1,8,1,8,3.0
1464,1,1962,54,1,8,39,4,99.0
1465,1,1982,34,1,9,6,3,13.0
1466,1,1980,36,1,9,6,3,13.0
1467,1,1940,76,0,0,0,0,6.0
1468,1,1966,50,1,13,7,10,31.0
1469,1,1983,33,0,0,0,4,99.0
1470,1,1985,31,0,0,0,7,4.0
1471,1,1958,58,1,5,7,7,4.0
1472,1.0,1968.0,48.0,0,0,0,4,99.0
1473,1,1970.0,46.0,1,1,1,4,99.0
1474,1,1949,67,1,10,8,0,6.0
1475,1,1978,38,1,1,1,2,11.0
1476,1,1975,41,0,0,0,0,6.0
1477,1,1967,49,0,0,0,4,99.0
1478,1,1975,41,1,5,40,1,9.0
1479,1,1977,39,1,5,40,1,9.0
1480,1.0,1973,43,1,5,40,1,9.0
1481,0,1946,70,0,0,0,4,99.0
1482,1,1986,30,1,8,1,3,13.0
1483,1,1966,50,1,5,5,2,11.0
1484,0,1975,41,0,0,0,5,1.0
1485,1,1967,49,1,8,2,5,1.0
1486,1,1945,71,0,0,0,6,14.0
1487,0,1949.0,67.0,0,0,0,6,14.0
1488,1,1945,71,0,0,0,6,14.0
1489,1,1961,55,0,0,0,0,6.0
1490,1,1981,35,1,9,6,3,13.0
1491,1,1971.0,45.0,1,8,1,4,99.0
1492,1,1982,34,1,9,6,3,13.0
1493,1.0,1977,39,0,0,0,5,1.0
1494,1,1956,60,0,0,0,4,99.0
1495,1.0,1968.0,48.0,0,0,0,4,99.0
1496,1,1980,36,0,0,0,4,99.0
1497,1,1986,30,0,0,0,4,99.0
1498,1,1939,77,0,0,0,4,99.0
1499,1,1962,54,1,8,8,0,6.0
1500,1,1985,31,1,9,6,3,13.0
1501,1,1961,55,0,0,0,2,11.0
1502,1,1981,35,0,0,0,4,99.0
1503,1,1972,44,1,4,8,0,6.0
1504,1,1983,33,0,0,0,0,6.0
1505,1,1982,34,1,1,5,0,6.0
1506,1.0,1977,39,1,3,3,2,11.0
1507,0,1981,35,1,10,41,8,3.0
1508,1,1971,45,0,0,0,0,6.0
1509,1,1951,65,1,8,8,0,6.0
1510,1,1968.0,48.0,0,0,0,4,99.0
1511,1,1990,26,1,8,2,2,11.0
1512,1,1938,78,1,8,1,4,99.0
1513,1,1966,50,1,1,2,2,11.0
1514,1,1985,31,1,9,6,3,13.0
1515,1,1959,57,1,6,2,6,14.0
1516,1,1975,41,1,10,6,0,6.0
1517,1,1983,33,1,9,6,3,13.0
1518,1,1981,35,1,9,6,3,13.0
1519,1,1986,30,0,0,0,4,99.0
1520,1,1956,60,0,0,0,10,29.0
1521,1,1966,50,0,0,0,0,6.0
1522,1.0,1972.0,44.0,0,0,0,0,6.0
1523,1,1970,46,0,0,0,0,6.0
1524,1,1963,53,1,6,2,5,1.0
1525,1,1973,43,0,0,0,0,6.0
1526,0,1953,63,0,0,0,0,6.0
1527,1,1950,66,1,10,19,0,6.0
1528,1,1972,44,0,0,0,4,99.0
1529,1,1965,51,1,10,2,0,6.0
1530,0,1968.0,48.0,0,0,0,4,99.0
1531,1,1947,69,1,1,7,2,11.0
1532,1,1979,37,1,9,6,3,13.0
1533,0,1975,41,0,0,0,0,6.0
1534,1,1972,44,0,0,0,2,11.0
1535,1,1958,58,0,0,0,4,99.0
1536,1,1959,57,0,0,0,2,11.0
1537,1,1963,53,1,10,1,2,11.0
1538,1,1966,50,0,0,0,2,11.0
1539,1,1968,48,1,1,1,0,6.0
1540,1,1967,49,1,1,1,0,6.0
1541,1.0,1955,61,0,0,0,0,6.0
1542,1,1944,72,0,0,0,0,6.0
1543,1,1970,46,0,0,0,0,6.0
1544,1,1967,49,1,1,2,0,6.0
1545,1,1983,33,0,0,0,0,6.0
1546,1.0,1985,31,0,0,0,0,6.0
1547,1,1964,52,1,10,5,10,30.0
1548,1,1969,47,0,0,0,4,99.0
1549,1,1985,31,0,0,0,0,6.0
1550,1.0,1960,56,1,35,3,2,11.0
1551,1.0,1981,35,1,3,3,2,11.0
1552,1,1981,35,1,5,4,4,99.0
1553,1,1942,74,0,0,0,4,99.0
1554,1,1979,37,0,0,0,4,99.0
1555,1,1976,40,1,1,1,0,6.0
1556,1,1977,39,0,0,0,5,1.0
1557,1,1983,33,0,0,0,0,6.0
1558,0,1950,66,1,10,23,7,4.0
1559,1,1967,49,1,6,7,4,99.0
1560,1,1947,69,0,0,0,4,99.0
1561,1,1966,50,1,3,12,2,11.0
1562,1,1969,47,1,5,4,2,11.0
1563,1.0,1972,44,0,0,0,0,6.0
1564,1,1968.0,48.0,0,0,0,4,99.0
1565,1,1967,49,0,0,0,7,4.0
1566,0,1968,48,0,0,0,5,1.0
1567,0,1960,56,1,1,6,5,1.0
1568,1.0,1977,39,0,0,0,7,4.0
1569,1,1969,47,1,10,6,2,11.0
1570,1,1976,40,0,0,0,0,6.0
1571,1.0,1986,30,1,4,2,3,13.0
1572,1,1985,31,1,5,1,0,6.0
1573,1,1966,50,1,5,1,0,6.0
1574,1,1945,71,0,0,0,4,99.0
1575,1,1969,47,1,6,8,0,6.0
1576,1,1983,33,0,0,0,9,2.0
1577,1,1959,57,0,0,0,9,2.0
1578,1,1970,46,1,1,1,2,11.0
