From,To,Relation,Relation_details,Actor_A_OCgroupmemberships,Actor_B_OCgroupmemberships
0,416,Co-Offenders,btb selling cocaine,G45,NONE
0,429,Legitimate,Associate,G45,NONE
0,1041,Legitimate,Associate,G45,NONE
0,1889,Legitimate,bt purchase property together in the US,G45,NONE
0,1978,Legitimate,used to be in business together,G45,NONE
0,525,Legitimate,btb associate,G45,G2
0,658,Co-Offenders,bt sell cocaine,G45,G45
0,233,Legitimate,Associate,G45,G9
4,1687,Co-Offenders,"Cocaine Rip, Shooting",G175,G175
4,1687,Formal Criminal Organization,Enemies,G175,G175
5,4,Co-Offenders,"debt collection, drugs, home invasions, extortion & kidnapping",G175,G175
10,214,Legitimate,btb personal associate,G9,G9
10,214,Formal Criminal Organization,,G9,G9
16,1683,Legitimate,associate,"G73, G131",G110
16,1925,Legitimate,Associate,"G73, G131",G110
17,110,Co-Offenders,,"G73, G131",NONE
17,499,Legitimate,Former Associate,"G73, G131",NONE
17,697,Legitimate,Former Associate,"G73, G131",NONE
17,833,Legitimate,Former Associate,"G73, G131",NONE
17,960,Formal Criminal Organization,in a dispute with group,"G73, G131",NONE
17,1912,Co-Offenders,Same Cell,"G73, G131",NONE
17,266,Formal Criminal Organization,in a dispute with group,"G73, G131",G122
17,505,Co-Offenders,Same Cell,"G73, G131",G131
17,16,Co-Offenders,,"G73, G131","G73, G131"
20,1925,Co-Offenders,working together re drugs,G183,G110
20,3,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,78,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,147,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,509,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,672,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,743,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,750,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,783,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,1305,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,1368,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,1570,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,1733,Co-Offenders,"Kidnappings, debt collection, drug rips & robberies",G183,G183
20,19,Co-Offenders,possession of narcotics,G183,G183
20,3,Formal Criminal Organization,,G183,G183
20,19,Formal Criminal Organization,,G183,G183
20,78,Formal Criminal Organization,,G183,G183
20,147,Formal Criminal Organization,,G183,G183
20,509,Formal Criminal Organization,,G183,G183
20,672,Formal Criminal Organization,,G183,G183
20,743,Formal Criminal Organization,,G183,G183
20,750,Formal Criminal Organization,,G183,G183
20,783,Formal Criminal Organization,,G183,G183
20,1305,Formal Criminal Organization,,G183,G183
20,1368,Formal Criminal Organization,,G183,G183
20,1570,Formal Criminal Organization,,G183,G183
20,1733,Formal Criminal Organization,,G183,G183
21,1249,Legitimate,user of Blackberry,"G47, G81","G47, G81"
23,1486,Legitimate,assoicate,NONE,G169
25,168,Co-Offenders,associate,G11,NONE
25,168,Formal Criminal Organization,Ch2,G11,NONE
25,1534,Co-Offenders,associate,G11,NONE
25,24,Co-Offenders,"cocaine/ marihuana, btb:  prostitution",G11,G11
25,118,Co-Offenders,"cocaine/ marihuana, btb:  prostitution",G11,G11
25,119,Co-Offenders,"cocaine/ marihuana, btb:  prostitution",G11,G11
25,1104,Co-Offenders,"cocaine/ marihuana, btb:  prostitution",G11,G11
25,24,Formal Criminal Organization,member/ associate Ch2,G11,G11
25,1110,Co-Offenders,"cocaine/ marihuana, btb:  prostitution",G11,"G11, G18"
26,523,Co-Offenders,cocaine courier,G54,G54
27,523,Legitimate,former roommates,G54,G54
27,523,Co-Offenders,drug partner,G54,G54
27,26,Co-Offenders,former cocaine courier,G54,G54
28,77,Legitimate,Associate,NONE,G167
32,1964,Legitimate,associate,NONE,NONE
34,1967,Legitimate,Associate,G179,G179
37,1979,Legitimate,involved with vehicle leases,"G55, G60, G107",G107
39,38,Co-Offenders,arrested for cocaine,G93,NONE
39,551,Formal Criminal Organization,feud between,G93,G127
44,1536,Co-Offenders,"Illegal gambling, selling of stolen property",G27,G27
44,1536,Formal Criminal Organization,Ch6,G27,G27
44,1536,Legitimate,director of business,G27,G27
45,43,Co-Offenders,"Robberies, assaults, & weapons possession",G182,G182
45,411,Co-Offenders,"Robberies, assaults, & weapons possession",G182,G182
45,412,Co-Offenders,"Robberies, assaults, & weapons possession",G182,G182
45,508,Co-Offenders,"Robberies, assaults, & weapons possession",G182,G182
45,606,Co-Offenders,"Robberies, assaults, & weapons possession",G182,G182
45,713,Co-Offenders,"Robberies, assaults, & weapons possession",G182,G182
45,1122,Co-Offenders,"Robberies, assaults, & weapons possession",G182,G182
45,1167,Co-Offenders,"Robberies, assaults, & weapons possession",G182,G182
45,1451,Co-Offenders,"Robberies, assaults, & weapons possession",G182,G182
45,1928,Co-Offenders,"Robberies, assaults, & weapons possession",G182,G182
45,2005,Co-Offenders,"Robberies, assaults, & weapons possession",G182,G182
45,43,Formal Criminal Organization,,G182,G182
45,411,Formal Criminal Organization,,G182,G182
45,412,Formal Criminal Organization,,G182,G182
45,508,Formal Criminal Organization,,G182,G182
45,606,Formal Criminal Organization,,G182,G182
45,713,Formal Criminal Organization,,G182,G182
45,1122,Formal Criminal Organization,,G182,G182
45,1167,Formal Criminal Organization,,G182,G182
45,1451,Formal Criminal Organization,,G182,G182
45,1928,Formal Criminal Organization,,G182,G182
45,2005,Formal Criminal Organization,,G182,G182
49,888,Co-Offenders,btb associate,NONE,NONE
49,888,Legitimate,longshoreman,NONE,NONE
50,1529,Legitimate,RO company,"G8, G9, G10, G24",NONE
50,1891,Legitimate,associate,"G8, G9, G10, G24","G23, G24"
50,825,Legitimate,RO company,"G8, G9, G10, G24","G24, G80"
60,2022,Co-Offenders,Cocaine,NONE,NONE
61,132,Co-Offenders,btb marihuana,G46,G100
61,651,Legitimate,,G46,G46
61,548,Co-Offenders,btb marihuana,G46,G46
61,441,Co-Offenders,marihuana possession,G46,G46
61,968,Co-Offenders,marihuana possession,G46,G46
61,650,Co-Offenders,Same Cell,G46,G46
61,651,Co-Offenders,Same Cell,G46,G46
61,756,Co-Offenders,Same Cell,G46,G46
67,1447,Co-Offenders,btb cocaine connection,"G13, G15, G16",NONE
67,1447,Formal Criminal Organization,Ch3 former,"G13, G15, G16",NONE
67,456,Co-Offenders,btb criminal associate,"G13, G15, G16",G15
67,68,Co-Offenders,same cell,"G13, G15, G16",G15
67,68,Formal Criminal Organization,Ch3,"G13, G15, G16",G15
67,68,Legitimate,director of 5 registered firms,"G13, G15, G16",G15
67,700,Co-Offenders,btb supplying cocaine,"G13, G15, G16","G15, G25, G34, G67"
67,700,Legitimate,"paid 725 $700,000 for warehouse","G13, G15, G16","G15, G25, G34, G67"
68,700,Co-Offenders,btb supplying cocaine,G15,"G15, G25, G34, G67"
69,71,Legitimate,Director/ Manager,NONE,NONE
75,1662,Co-Offenders,btb flying shipments of marihuana,"G47, G82",NONE
75,1258,Co-Offenders,bt have imported cocaine,"G47, G82",G13
75,700,Co-Offenders,cocaine,"G47, G82","G15, G25, G34, G67"
75,1264,Legitimate,met in an prison,"G47, G82",G47
75,74,Co-Offenders,assists in transferring proceeds into Canada,"G47, G82",G47
75,1264,Co-Offenders,bt have imported cocaine,"G47, G82",G47
75,1986,Co-Offenders,btb hired for protection & for transfer of funds into foreign country,"G47, G82",G47
75,836,Co-Offenders,btb working together in cocaine importation,"G47, G82",G47
75,1215,Co-Offenders,in charge of one helicopter re marihuana,"G47, G82",G47
75,455,Co-Offenders,partners in a marihuana smuggling enterprise,"G47, G82",G47
75,1754,Co-Offenders,Same Cell,"G47, G82",G47
75,1767,Co-Offenders,Same Cell,"G47, G82",G47
75,1810,Co-Offenders,Same Cell,"G47, G82",G47
75,2056,Co-Offenders,Same Cell,"G47, G82",G47
75,455,Legitimate, “owner” of one helicopter,"G47, G82",G47
75,1215,Formal Criminal Organization,bt have had a falling out,"G47, G82",G47
75,2075,Co-Offenders,Same Cell,"G47, G82","G47, G58, G81"
75,684,Co-Offenders,btb flying shipments of marihuana,"G47, G82","G47, G65"
75,21,Co-Offenders,Same Cell,"G47, G82","G47, G81"
75,1249,Co-Offenders,RO of Blackberries linked to organization,"G47, G82","G47, G81"
75,572,Co-Offenders,Same Cell,"G47, G82","G47, G84"
75,1060,Co-Offenders,Same Cell,"G47, G82","G47, G84"
75,1271,Co-Offenders,bt have worked together,"G47, G82","G60, G110"
75,1362,Legitimate,btb partner in helicopter,"G47, G82",G73
75,1055,Co-Offenders,involved in the money aspect of marihuana exportation,"G47, G82",G81
75,233,Co-Offenders,bt have worked together,"G47, G82",G9
77,331,Legitimate,Associate,G167,NONE
77,990,Co-Offenders,Same Cell,G167,G167
77,1875,Co-Offenders,Same Cell,G167,G167
77,1995,Co-Offenders,Same Cell,G167,G167
77,1183,Legitimate,Associate,G167,G175
79,1691,Formal Criminal Organization,Feud,G175,NONE
79,551,Formal Criminal Organization,Feud,G175,G127
79,1162,Legitimate,Associates,G175,G175
79,1880,Legitimate,Associates,G175,G175
80,1126,Formal Criminal Organization,Shooting,G175,NONE
80,1691,Formal Criminal Organization,Feud,G175,NONE
80,79,Co-Offenders,"debt collection, drugs, home invasions, extortion & kidnapping",G175,G175
82,81,Formal Criminal Organization,,"G23, G40, G43","G23, G40, G43, G111"
87,367,Co-Offenders,main supplier of heroin,NONE,NONE
89,88,Legitimate,director /officer,NONE,NONE
89,91,Legitimate,director /officer,NONE,NONE
89,351,Legitimate,director /officer,NONE,NONE
90,88,Legitimate,director /officer,NONE,NONE
90,89,Co-Offenders,bt launder money,NONE,NONE
90,89,Legitimate,director /officer,NONE,NONE
90,91,Legitimate,director /officer,NONE,NONE
97,1785,Formal Criminal Organization,Assualt,G179,NONE
103,1666,Formal Criminal Organization,bt have planned/ attempted to kill each other,G48,G110
103,1960,Legitimate,best friend,G48,G48
103,803,Co-Offenders,bt have stolen meth from other gang,G48,G48
103,1960,Co-Offenders,bt have stolen meth from other gang,G48,G48
103,803,Formal Criminal Organization,,G48,G48
104,1036,Formal Criminal Organization,btb involved in attemps to shoot other oc individuals,"G48, G107",NONE
104,1030,Co-Offenders,Same Cell,"G48, G107",G110
104,1030,Formal Criminal Organization,,"G48, G107",G110
104,1960,Legitimate,former associate,"G48, G107",G48
104,567,Legitimate,long-time friend,"G48, G107",G48
104,22,Co-Offenders,Same Cell,"G48, G107",G48
104,48,Co-Offenders,Same Cell,"G48, G107",G48
104,72,Co-Offenders,Same Cell,"G48, G107",G48
104,101,Co-Offenders,Same Cell,"G48, G107",G48
104,102,Co-Offenders,Same Cell,"G48, G107",G48
104,103,Co-Offenders,Same Cell,"G48, G107",G48
104,236,Co-Offenders,Same Cell,"G48, G107",G48
104,259,Co-Offenders,Same Cell,"G48, G107",G48
104,344,Co-Offenders,Same Cell,"G48, G107",G48
104,488,Co-Offenders,Same Cell,"G48, G107",G48
104,558,Co-Offenders,Same Cell,"G48, G107",G48
104,567,Co-Offenders,Same Cell,"G48, G107",G48
104,778,Co-Offenders,Same Cell,"G48, G107",G48
104,803,Co-Offenders,Same Cell,"G48, G107",G48
