From,To,Relation,Relation_details,Actor_A_OCgroupmemberships,Actor_B_OCgroupmemberships
104,860,Co-Offenders,Same Cell,"G48, G107",G48
104,873,Co-Offenders,Same Cell,"G48, G107",G48
104,935,Co-Offenders,Same Cell,"G48, G107",G48
104,1056,Co-Offenders,Same Cell,"G48, G107",G48
104,1177,Co-Offenders,Same Cell,"G48, G107",G48
104,1556,Co-Offenders,Same Cell,"G48, G107",G48
104,1584,Co-Offenders,Same Cell,"G48, G107",G48
104,1639,Co-Offenders,Same Cell,"G48, G107",G48
104,1921,Co-Offenders,Same Cell,"G48, G107",G48
104,1960,Co-Offenders,Same Cell,"G48, G107",G48
104,1961,Co-Offenders,Same Cell,"G48, G107",G48
104,1974,Co-Offenders,Same Cell,"G48, G107",G48
104,2055,Co-Offenders,Same Cell,"G48, G107",G48
104,2094,Co-Offenders,Same Cell,"G48, G107",G48
104,22,Formal Criminal Organization,,"G48, G107",G48
104,48,Formal Criminal Organization,,"G48, G107",G48
104,72,Formal Criminal Organization,,"G48, G107",G48
104,101,Formal Criminal Organization,,"G48, G107",G48
104,102,Formal Criminal Organization,,"G48, G107",G48
104,103,Formal Criminal Organization,,"G48, G107",G48
104,236,Formal Criminal Organization,,"G48, G107",G48
104,259,Formal Criminal Organization,,"G48, G107",G48
104,344,Formal Criminal Organization,,"G48, G107",G48
104,488,Formal Criminal Organization,,"G48, G107",G48
104,558,Formal Criminal Organization,,"G48, G107",G48
104,567,Formal Criminal Organization,,"G48, G107",G48
104,778,Formal Criminal Organization,,"G48, G107",G48
104,803,Formal Criminal Organization,,"G48, G107",G48
104,860,Formal Criminal Organization,,"G48, G107",G48
104,873,Formal Criminal Organization,,"G48, G107",G48
104,935,Formal Criminal Organization,,"G48, G107",G48
104,1056,Formal Criminal Organization,,"G48, G107",G48
104,1177,Formal Criminal Organization,,"G48, G107",G48
104,1556,Formal Criminal Organization,,"G48, G107",G48
104,1584,Formal Criminal Organization,,"G48, G107",G48
104,1639,Formal Criminal Organization,,"G48, G107",G48
104,1921,Formal Criminal Organization,,"G48, G107",G48
104,1961,Formal Criminal Organization,,"G48, G107",G48
104,1974,Formal Criminal Organization,,"G48, G107",G48
104,2055,Formal Criminal Organization,,"G48, G107",G48
104,2094,Formal Criminal Organization,,"G48, G107",G48
104,2109,Co-Offenders,Same Cell,"G48, G107","G48, G107"
104,2109,Formal Criminal Organization,,"G48, G107","G48, G107"
104,552,Co-Offenders,Same Cell,"G48, G107","G48, G127"
104,552,Formal Criminal Organization,,"G48, G107","G48, G127"
104,911,Legitimate,Associate,"G48, G107","G48, G179"
104,911,Co-Offenders,Same Cell,"G48, G107","G48, G179"
104,911,Formal Criminal Organization,,"G48, G107","G48, G179"
104,277,Co-Offenders,Same Cell,"G48, G107","G48, G56"
104,1545,Co-Offenders,Same Cell,"G48, G107","G48, G56"
104,1548,Co-Offenders,Same Cell,"G48, G107","G48, G56"
104,277,Formal Criminal Organization,,"G48, G107","G48, G56"
104,1545,Formal Criminal Organization,,"G48, G107","G48, G56"
104,1548,Formal Criminal Organization,,"G48, G107","G48, G56"
104,687,Formal Criminal Organization,btb involved in attemps to shoot other oc individuals,"G48, G107","G50, G110"
111,1936,Legitimate,Associate,NONE,NONE
115,143,Co-Offenders,cocaine trafficking & money laundering,G49,NONE
115,143,Legitimate,working together in legitimate business,G49,NONE
115,545,Legitimate,Former Associate,G49,NONE
115,616,Legitimate,Associate,G49,NONE
115,616,Co-Offenders,bt have acquired  airplane to transport cocaine,G49,NONE
115,973,Legitimate,Former Associate,G49,NONE
115,1625,Legitimate,Former Associate,G49,NONE
115,1737,Legitimate,Former Associate,G49,NONE
115,2002,Legitimate,Former Associate,G49,NONE
115,2123,Legitimate,Former Associate,G49,NONE
115,422,Legitimate,Associate,G49,G49
115,1795,Legitimate,Associate,G49,G49
115,1149,Legitimate,Former Associate,G49,G49
115,1150,Legitimate,Former Associate,G49,G49
115,1149,Co-Offenders,cocaine trafficking & money laundering,G49,G49
115,1150,Co-Offenders,cocaine trafficking & money laundering,G49,G49
115,157,Co-Offenders,Same Cell,G49,G49
115,1503,Co-Offenders,Same Cell,G49,G49
115,422,Co-Offenders,worked with 437 using his group to import cocaine.,G49,G49
115,1795,Co-Offenders,working together in the drug trade,G49,G49
115,1574,Legitimate,Associate,G49,"G49, G99"
115,1707,Legitimate,Associate,G49,G51
115,1781,Legitimate,Associate,G49,G51
115,1783,Legitimate,Associate,G49,G51
115,2137,Legitimate,Associate,G49,"G8, G29, G72"
115,2137,Co-Offenders,btb obtaining cocaine from sources,G49,"G8, G29, G72"
121,67,Co-Offenders,btb: cocaine trafficking,"G15, G78","G13, G15, G16"
121,67,Legitimate,director ,"G15, G78","G13, G15, G16"
121,68,Co-Offenders,btb: cocaine trafficking,"G15, G78",G15
121,68,Legitimate,director,"G15, G78",G15
123,771,Legitimate,associate,G44,NONE
123,771,Formal Criminal Organization,,G44,NONE
123,2042,Formal Criminal Organization,,G44,NONE
123,726,Formal Criminal Organization,,G44,G44
124,634,Co-Offenders,btb installing secret compartments into vehicles,G133,G133
124,961,Co-Offenders,btb installing secret compartments into vehicles,G133,G133
124,1102,Co-Offenders,btb installing secret compartments into vehicles,G133,G133
124,1588,Co-Offenders,btb installing secret compartments into vehicles,G133,G133
124,1937,Co-Offenders,btb installing secret compartments into vehicles,G133,G133
124,634,Legitimate,employee,G133,G133
124,961,Legitimate,employee,G133,G133
124,1102,Legitimate,employee,G133,G133
124,1588,Legitimate,co-owners,G133,G133
124,1937,Legitimate,employee,G133,G133
124,956,Co-Offenders,btb installing secret compartments into vehicles,G133,G186
124,956,Legitimate,employee,G133,G186
127,309,Co-Offenders,"Marihuana, cocaine, extortion, prostitution, B&E",G180,G180
127,904,Co-Offenders,"Marihuana, cocaine, extortion, prostitution, B&E",G180,G180
127,1731,Co-Offenders,"Marihuana, cocaine, extortion, prostitution, B&E",G180,G180
127,309,Formal Criminal Organization,,G180,G180
127,904,Formal Criminal Organization,,G180,G180
127,1731,Formal Criminal Organization,,G180,G180
130,966,Co-Offenders,firearms supplied by 135,G56,G56
130,998,Co-Offenders,machine guns,G56,G56
132,1605,Co-Offenders,drop of marihuana btb orchestrated,G100,G100
132,1735,Co-Offenders,marihuana drop,G100,G100
132,1526,Co-Offenders,drop of marihuana btb orchestrated,G100,"G95, G100"
133,1025,Co-Offenders,btb supplied heroin,G89,G78
141,82,Legitimate,was close associate,G66,"G23, G40, G43"
141,82,Formal Criminal Organization,,G66,"G23, G40, G43"
141,81,Legitimate,passenger in vehicle,G66,"G23, G40, G43, G111"
141,81,Formal Criminal Organization,,G66,"G23, G40, G43, G111"
141,1312,Legitimate,was close associate,G66,"G23, G41, G66, G89"
141,1312,Formal Criminal Organization,,G66,"G23, G41, G66, G89"
145,551,Legitimate,Associate,G135,G127
145,551,Co-Offenders,btb ‘hitman” for 574,G135,G127
146,293,Co-Offenders,Cocaine source,NONE,NONE
146,461,Co-Offenders,Cocaine source,NONE,NONE
146,580,Co-Offenders,Drugs,NONE,NONE
146,982,Co-Offenders,Drugs,NONE,NONE
151,1143,Co-Offenders,,G37,G31
151,1143,Formal Criminal Organization,,G37,G31
151,397,Co-Offenders,same cell,G37,G37
151,453,Co-Offenders,same cell,G37,G37
151,458,Co-Offenders,same cell,G37,G37
151,549,Co-Offenders,same cell,G37,G37
151,1038,Co-Offenders,same cell,G37,G37
151,1727,Co-Offenders,same cell,G37,G37
151,1858,Co-Offenders,same cell,G37,G37
151,2074,Co-Offenders,same cell,G37,G37
151,397,Formal Criminal Organization,,G37,G37
151,453,Formal Criminal Organization,,G37,G37
151,458,Formal Criminal Organization,,G37,G37
151,549,Formal Criminal Organization,,G37,G37
151,1038,Formal Criminal Organization,,G37,G37
151,1727,Formal Criminal Organization,,G37,G37
151,1858,Formal Criminal Organization,,G37,G37
151,2074,Formal Criminal Organization,,G37,G37
153,152,Co-Offenders,a lower level group of drug dealers,G62,G62
153,676,Co-Offenders,a lower level group of drug dealers,G62,G62
162,420,Co-Offenders,btb cocaine supplier,G10,G10
162,601,Co-Offenders,btb cocaine supplier,G10,G10
167,717,Co-Offenders,was hired by 172 to transport marihuana/ cocaine & firearms,G50,NONE
167,334,Co-Offenders,driver contracted by 172 to smuggle drugs/ weapons,G50,G50
167,222,Co-Offenders,"involved in marihuana grow ops, supplying cocaine",G50,G50
167,1391,Co-Offenders,Same Cell,G50,G50
167,1502,Co-Offenders,Same Cell,G50,G50
167,222,Legitimate, owns a res. Purchased 227,G50,G50
167,687,Co-Offenders,Same Cell,G50,"G50, G110"
171,98,Legitimate,Associate,G51,NONE
171,228,Legitimate,Associate,G51,NONE
171,264,Legitimate,Associate,G51,NONE
171,1032,Legitimate,Associate,G51,NONE
171,1040,Legitimate,Associate,G51,NONE
171,1574,Legitimate,Associate,G51,"G49, G99"
171,1507,Co-Offenders,Same Cell,G51,G51
171,1707,Co-Offenders,Same Cell,G51,G51
171,1781,Co-Offenders,Same Cell,G51,G51
171,1783,Co-Offenders,Same Cell,G51,G51
171,978,Co-Offenders,Same Cell,G51,"G51, G99"
171,1827,Legitimate,Associate,G51,G99
171,2096,Legitimate,Associate,G51,G99
171,391,Co-Offenders,Same Cell,G51,G99
174,140,Co-Offenders,associate,"G18, G21",NONE
174,884,Co-Offenders,bt have met re cocaine trafficking,"G18, G21",NONE
174,913,Co-Offenders,associate,"G18, G21",NONE
174,1353,Co-Offenders,associate,"G18, G21",NONE
174,1393,Co-Offenders,associate,"G18, G21",NONE
174,1393,Formal Criminal Organization,Ch4,"G18, G21",NONE
174,1989,Co-Offenders,"2048 paid a ""tax"" re operation","G18, G21",NONE
174,1110,Co-Offenders,same cell,"G18, G21","G11, G18"
174,797,Co-Offenders,disturbance,"G18, G21","G11, G19, G21"
174,797,Formal Criminal Organization,,"G18, G21","G11, G19, G21"
174,1711,Legitimate,operates closely,"G18, G21",G18
174,1710,Co-Offenders,moves 179's drugs,"G18, G21",G18
174,165,Co-Offenders,same cell,"G18, G21",G18
174,435,Co-Offenders,same cell,"G18, G21",G18
174,513,Co-Offenders,same cell,"G18, G21",G18
174,547,Co-Offenders,same cell,"G18, G21",G18
174,565,Co-Offenders,same cell,"G18, G21",G18
174,971,Co-Offenders,same cell,"G18, G21",G18
174,1111,Co-Offenders,same cell,"G18, G21",G18
174,1161,Co-Offenders,same cell,"G18, G21",G18
174,1711,Co-Offenders,same cell,"G18, G21",G18
174,1844,Co-Offenders,same cell,"G18, G21",G18
174,2066,Co-Offenders,same cell,"G18, G21",G18
174,2095,Co-Offenders,same cell,"G18, G21",G18
174,1711,Formal Criminal Organization,Ch4,"G18, G21",G18
174,533,Co-Offenders,same cell,"G18, G21","G18, G99"
174,410,Co-Offenders,same cell,"G18, G21",G184
174,941,Legitimate,associate,"G18, G21","G19, G21"
174,1020,Co-Offenders,associate,"G18, G21","G19, G21, G22"
174,862,Co-Offenders,associate,"G18, G21","G19, G21, G22, G109"
174,1772,Legitimate,1823: mentor,"G18, G21",G21
174,434,Legitimate,associate,"G18, G21",G21
174,1772,Co-Offenders,both charged,"G18, G21",G21
174,1772,Formal Criminal Organization,Ch4,"G18, G21",G21
174,2065,Legitimate,associate,"G18, G21",G22
174,2065,Formal Criminal Organization,Ch4 former,"G18, G21",G22
174,910,Co-Offenders,same cell,"G18, G21",G8
174,1524,Co-Offenders,intercepted re drug talk,"G18, G21",G99
177,819,Legitimate,associate,G101,"G23, G69"
183,36,Legitimate,Associate,G52,NONE
183,250,Legitimate,Associate,G52,NONE
183,721,Legitimate,Associate,G52,NONE
183,772,Legitimate,Associate,G52,NONE
183,936,Legitimate,Associate,G52,NONE
183,1607,Legitimate,Associate,G52,NONE
183,1820,Legitimate,Associate,G52,NONE
183,1438,Legitimate,Associate,G52,G52
183,184,Co-Offenders,Same Cell,G52,G52
186,640,Legitimate,former associate,NONE,NONE
188,1913,Co-Offenders,rented hotel to deal drugs,G20,G20
197,1225,Legitimate,worked for  1263,NONE,NONE
197,423,Legitimate,bt have worked for  438,NONE,G99
201,1044,Co-Offenders,Cocaine,NONE,NONE
203,1746,Co-Offenders,marihuana exportation,G30,"G23, G30, G43"
214,1652,Formal Criminal Organization,"involved in a drug rip, resulting in the shooting of 219",G9,G93
217,1249,Legitimate,Blackberry registered to 1287,G81,"G47, G81"
219,1861,Co-Offenders,weapons,NONE,NONE
219,388,Legitimate,Associate,NONE,G56
219,388,Co-Offenders,weapons,NONE,G56
222,1672,Legitimate,associate,G50,"G39, G68"
222,1672,Formal Criminal Organization,,G50,"G39, G68"
230,527,Legitimate,Associate,NONE,NONE
230,663,Legitimate,Associate,NONE,NONE
230,1497,Legitimate,director,NONE,NONE
233,33,Legitimate,associate,G9,NONE
233,33,Co-Offenders,same cell,G9,NONE
233,33,Formal Criminal Organization,,G9,NONE
233,256,Legitimate,associate,G9,NONE
233,290,Legitimate,owner/ manager,G9,NONE
233,383,Legitimate,associate,G9,NONE
233,747,Legitimate,associate,G9,NONE
233,747,Formal Criminal Organization,Ch2,G9,NONE
233,748,Co-Offenders,btb drug trafficking,G9,NONE
233,748,Formal Criminal Organization,Ch2,G9,NONE
233,748,Legitimate,business  is next door,G9,NONE
233,993,Legitimate,associate,G9,NONE
233,1594,Legitimate,associate,G9,NONE
233,1914,Co-Offenders,btb cocaine/ money courier,G9,NONE
233,1973,Legitimate,associate,G9,NONE
233,1973,Formal Criminal Organization,,G9,NONE
233,2121,Legitimate,associate,G9,NONE
233,537,Legitimate,associate,G9,G121
233,476,Legitimate,Associate,G9,"G16, G27, G38, G58"
233,476,Co-Offenders,btb drug trafficking associate,G9,"G16, G27, G38, G58"
233,1898,Co-Offenders,drug supplier,G9,"G40, G90"
233,50,Co-Offenders,same cell,G9,"G8, G9, G10, G24"
233,50,Formal Criminal Organization,Ch2,G9,"G8, G9, G10, G24"
233,1117,Legitimate,associate,G9,G9
233,10,Co-Offenders,assualt,G9,G9
233,214,Co-Offenders,cocaine network,G9,G9
233,1117,Co-Offenders,,G9,G9
233,1722,Co-Offenders,same cell,G9,G9
233,10,Formal Criminal Organization,,G9,G9
233,214,Formal Criminal Organization,Ch2,G9,G9
233,1722,Formal Criminal Organization,,G9,G9
233,1722,Legitimate,executive,G9,G9
233,446,Co-Offenders,cocaine network,G9,"G9, G38"
233,1723,Co-Offenders,cocaine network,G9,"G9, G38"
240,2137,Co-Offenders,bt have trafficked  cocaine,"G4, G5, G6, G7","G8, G29, G72"
243,965,Co-Offenders,btb supported by 248,G97,NONE
247,1045,Legitimate,director /officer,NONE,NONE
248,249,Co-Offenders,cocaine & meth transportation,G1,G1
248,1153,Co-Offenders,bt have supplied cocaine,G1,G1
248,1474,Co-Offenders,assault conspiracy,G1,G1
248,249,Formal Criminal Organization,member/ hangaround Ch1,G1,G1
248,1153,Formal Criminal Organization,Ch1,G1,G1
248,1474,Formal Criminal Organization,Ch1,G1,G1
248,688,Co-Offenders,cocaine &  meth,G1,"G1, G3"
248,688,Formal Criminal Organization,Ch1,G1,"G1, G3"
248,2006,Co-Offenders,assault conspiracy,G1,"G1, G6"
248,2006,Formal Criminal Organization,Ch1 former,G1,"G1, G6"
249,279,Co-Offenders,arrested together,G1,NONE
255,589,Co-Offenders,property used by 612 in dealing crack,G2,NONE
269,887,Legitimate,former associate,G68,NONE
269,887,Co-Offenders,cross border marihuana smuggling,G68,NONE
269,1120,Legitimate,former associate,G68,NONE
269,1120,Co-Offenders,cross border marihuana smuggling,G68,NONE
269,1856,Legitimate,former associate,G68,G107
269,1856,Co-Offenders,flew marihuana into the US,G68,G107
269,710,Legitimate,btb flying a helicopter,G68,G68
271,1691,Formal Criminal Organization,Feud,NONE,NONE
271,551,Formal Criminal Organization,Feud,NONE,G127
273,1650,Co-Offenders,stock manipulations &  money laundering,"G8, G14","G8, G14"
273,1650,Formal Criminal Organization,,"G8, G14","G8, G14"
273,1650,Legitimate,director,"G8, G14","G8, G14"
273,1660,Legitimate,director,"G8, G14","G8, G14, G21"
273,657,Co-Offenders,cocaine importation & distribution,"G8, G14","G8, G14, G80"
273,657,Formal Criminal Organization,Ch1 former,"G8, G14","G8, G14, G80"
273,657,Legitimate,director,"G8, G14","G8, G14, G80"
275,1992,Co-Offenders,btb involved in “chop shop”,G69,G69
275,1992,Legitimate,lives on 282 property,G69,G69
277,1545,Co-Offenders,partner in trafficking  large quantities of firearms,"G48, G56","G48, G56"
